Kata / Kalimat,Sentimen Data Asli,Sentimen Data Prediksi
ganti program tingkat kualitas liga segi manajemen,positif,positif
sty bilek mamam noh telor busuk bandara yaa nohh,negatif,positif
ivar geret lapang pindah ring tinju bang,negatif,positif
ahhhh sweet kali abang abangan tim nasional senior moga kembang yaaa garuda tercintaa,positif,positif
kandang tim nasional,negatif,positif
shin taeyong langsung siap tim nasional indonesia hadap kualifikasi piala dunia,positif,positif
pasca konser kelola gelora bung karno rumput stadion kondisi juni,positif,positif
tim nasional destroyed korea selatan shin tae yong hubner ernando arkhan struick this song tim nasional indonesia,negatif,negatif
yuk lurus berita,positif,positif
dear main latih dokter staf terima kasih bangga,positif,positif
coba lurus anjas asmara jepang korea ajar,positif,positif
tim nasional indonesia masuk dalam grup bb piala aff piala aff rencana tanggal november desember ketemu musuh bebuyutan vietnam nih,negatif,negatif
lepas main superior uzbek kali var hanyak tim nasional indonesia aktif uzbekistan alhasil putus amp rugi indonesia,negatif,negatif
indonesia vs uzbek wasit penuh kontraversi wasit sivakorn wasit shen jerome curse shen yinhao,negatif,negatif
tante inces kali merah nya keri,negatif,negatif
hee wasit shen yinhao rungokno mergo laku detik rabakal nonton film xxx seko negoromutitik ayoo misuhh,negatif,negatif
pov arkhan fikri alhamdulillah hujat indonesia arkhan manusia lega,positif,positif
indonesia semangat rebut tiga wasit china bos china podo ae nggateli,positif,positif
exlgbt jesus jakari s testimony via,positif,positif
did great guys masuk semifinal prestasi maju bangga lepas wasit jancok drama tai hebat sempat perebutin ticket olimpiade semangat,negatif,positif
asli loncat loncat malam rumah,positif,positif
jepang beat uzbekistan menang afc asi cup title here in doha malam ini,negatif,positif
tolong revisi uu jaksa,negatif,positif
berani nonton alhamdulillah hasil bahagia terima kasih main latih shin staff latih we did it asa juang lanjut,positif,positif
lapor media filipina spin juru taktik belgia pantau langsung main turun filipina karier jerman amerika serikat,positif,negatif
pssi umum daftar main tim nasional indonesia vs irak filipina elkan baggot panggil shin taeyong,negatif,negatif
besok kerja full senyum ngantuk ngantuk,negatif,positif
ready tiket idn vs iraq kategori upper minat dm pssi elkan reza artamevia selamat mas jeno sandra dewi fuji arhan nathan tjoe,positif,positif
ngantuk iya beneran dapur,positif,positif
tim nasional indonesia hadap tanzania laga uji coba jelang kualifikasi piala dunia zona asia gelar stadion madya jakarta more,positif,positif
sejarah terimakasih tim nasional indonesia,positif,positif
towel kecewa wkwkwk,positif,positif
bilang mati kau jepang barat,negatif,positif
besok jumat siang,positif,positif
menang jepang uzbek menang piala citra lolos,negatif,negatif
kasihan bat,positif,negatif
moga sempat nyala terima kasih garuda muda bangga,positif,positif
indonesia tanzania juni stadion madya,positif,positif
jepang cahaya asia sorry yee uzbekistan,negatif,positif
jual tiket indonesia vs iraq gelora bung karno pcs harga kpcs zona upper jual pulang kantor tau kick off jam,positif,positif
garuda pertiwi hasil kandas lawan singapura laga sahabat gelar stadion madya gelora bung karno jakarta laga selenggara selasa malam sudah skor indonesia yess girlsss,positif,positif
main bola main sinetron ya ko banyak drama,negatif,positif
cetak sejarha jepang raih gelar juara kalah uzbekistan final piala asia dramatis,positif,positif
garuda muda kecewa kecewa wasit shen yinhao semangat indonesia rebut rd,negatif,negatif
syukur capai tim nasional indonesia wasite dancuk jaran,positif,positif
garuda pertiwi hasil gembira claudio scheunemann dan kawan hasil menang telak singapura,positif,negatif
habis ng hype rl lihat wasit nya adil bukti kamera banget habis lihat tl x langsung tertawa deja vu posisi member lf curangin banyk kuat kuat army and me,positif,negatif
lelah hadap lawan posisi rangking fifa,negatif,positif
bahagia,positif,positif
kerja orang,positif,positif
witan sulaiman beneran haji,positif,positif
nguyen,positif,positif
bangga indonesia semi final olimpiade paris depan mata maju garuda,positif,positif
video kenang mana gol indonesia anulir var wasit harap tiket olimpiade paris moga juara kntl nathan wasit informasi ig kartu merah offside,negatif,negatif
blio,positif,positif
wtb tiket tim nasional vs iraq sect garuda west butuh tix hmu,negatif,negatif
juara ucl musim,positif,positif
taut live streaming jepang vs uzbekistan final piala asia rcti gratis nonton asi cup malam uzbekistan vs jepang,positif,positif
jual tiket laga uji coba tim nasional indonesai hadap tanzania buka pssi sabtu mei,negatif,positif
terima kasih sokong tim nasional langsung stadion semangat keren,positif,positif
done bismillah jumat berkah,positif,positif
alhamdulillah syukur banget tim nasional indonesia i love,positif,positif
yah nama sepak bola modern kemarin diuntungin var bikin patah hati var juang tim nasional kudu apresiasi sing jerome kntl wasit mbokne ancok sekian,negatif,negatif
indonesia masuk babak semifinal jatuh bangun ayooo yoooo semangat,negatif,positif
shin taeyong nilai dalam skuad kunci menang irak shin taeyong fokus,positif,positif
gempa anak sd ps bpjs dil spurs jadwal tanding seru malam taut streaming bio,positif,positif
consistent tanding tim kuat keren,negatif,positif
maarten paes kuat tim nasional indonesia juni depan mata alas,negatif,negatif
seru lur beli tiket posisi lur,negatif,negatif
wow lawan korea lho tim ranking asia tim peringkat fifanya selisih,negatif,negatif
wts tiket tim nasional indonesia vs iraqphilippines garuda west k garuda northsouth k,negatif,positif
wts premium east nih cari gakya tinggal cowok pakai data,negatif,positif
pinalti justin hubner mental,positif,negatif
sedih sih yasudahlah yaa moga tanding terima kasih juang tim nasional dear lawan tolong drama alus sinetron ikan terbang ketoel gulingguling,negatif,positif
baik target tim debut lesat indah titik raih benah jalan terbang garuda apresiasi latih main good job guys,positif,positif
semifinal playoff seri bleg,positif,positif
yaela udan jam malam,negatif,positif
afc womens asi cup group a indonesia vs korea utara k wib i wayan dipta stadium yuk support tanding tim nasional putri group a apa hasil nya gurls lesgow tuntas,positif,positif
indonesia cetak sejarah,positif,positif
selamat pagi epic indonesia hasil pulang korea selatan one step closer olympic paris,positif,positif
hmi sudahh ko bom,positif,positif
mimpi sempurna arema qatar kor indonesia parlay tidur dzuhur,positif,positif
main tim nasional indonesia usaha maximal hasil pihak next projects,negatif,negatif
spertinya filosofi main latih mochi latih shin hilang bola tanggungjawab ambil tuh bola,negatif,negatif
negara butuh orang orang jujur revisi uu jaksa,negatif,positif
orangorang hebat dinamika susah senang canda tawa lalu syukur lang,positif,positif
sakit kondisi main babak nomor penalti nomor goal red card amp main tekan ekspektasi euforia masyarakat indonesia tim nasional nya tampil lolos kualifikasi olimpiade paris good luck,negatif,positif
pesan presiden fifa indonesia bangga tim nasional suara dukung semangat langkah prestasi gemilang lapang internasional,positif,positif
dukung tim nasional indonesia,positif,positif
alhamdulillah,positif,positif
mamah nia tidur nonton laga alhamdulillah ya allah indonesia semi final,positif,positif
abang nya nobar,positif,positif
dunia class tim nasional garuda gokil,negatif,positif
menit ganti main hadehhh,positif,negatif
selamat,positif,positif
indonesia kalah kalah,negatif,negatif
hoki,positif,positif
yang hormat presiden tinggal legacy sepak bola tanah air indikator kerja target selesai kanjuruhan selesai tuntas selesai lepas jabat,negatif,positif
tertawa banget lihat biji tendang indonesia vs uzbekistan afc,positif,positif
bismillaah moga indonesia juara piala asia aamiin,positif,positif
gilir tanding indonesia ditanyangin gratis rcti,positif,positif
rank fifa turun diturunin king indonesia,negatif,negatif
bangga kena kaos,negatif,positif
apresiasi besar garuda muda hebat apa ayo kobarin semangat ngerebut juara,positif,positif
alhamdulillah mantap,positif,positif
taut live streaming tim nasional putri indonesia vs singapura laga sahabat taut live streaming,negatif,positif
piala nya langsung kasih uzbekistan,positif,positif
case var bingung jelek ya putus offsidenya gol indonesia kamera sejajar lihat posisi tangan main uzbek tutup garis kaki ferrari,negatif,negatif
asli,positif,positif
ngomong ngomong sial kalah animo nobar tim nasional hype wkwk yaaa lepas problem referee dan lain hasil reminder bentuk tim nasional kuat seinstant bentuk club with unlimited uang wkwk hope ajar ambil,negatif,negatif
tandain wasit nya rumah nya mana,negatif,negatif
jepang uzbekistan jepang juara piala asia,positif,positif
breaking berita ready tiket tim nasional harga underweb yuk,positif,positif
menyalaaaaaaa banggaaaaaaaa,positif,positif
yukyukkk indonesia vs iraq indonesia vs filipina,positif,positif
guinea drama geje wasit parah terima kasih tim nasional terima kasih sty staff terima kasih garuda muda juang titik bangga keren guys,negatif,positif
jerome bawa sial garagara kalah nih,negatif,negatif
ayo lurus samasama,positif,positif
bravo garuda indonesia,positif,positif
perintah bikin gaduh bambang hero saharjo,positif,positif
mah adu bocah paris lagi di jalan paris latih losbakkk,negatif,negatif
woooow lagiii,positif,positif
garagara wasit nihh hadehhh sih wasit nih info ig wasit turun gunung,negatif,negatif
koo main arah kemanaa,negatif,negatif
badmood,negatif,positif
ridho atur tendang biji,negatif,negatif
tanding indonesia vs guinnea jadwal jam tayang,positif,positif
shen yinhao sih indonesia problematic bgttt,positif,negatif
kasih tari menang sih ngomong ngomong qavar ajak sih wkwkwk,positif,positif
yuk yuk tenang latih patah hati,positif,positif
semangat bangga juang maksimal,positif,positif
kereeen banget kaliaan,positif,positif
shin taeyong bilang sepak bola indonesia cerah kait siap hadap kualifikasi piala dunia,positif,positif
bro uzbekistan menang,negatif,negatif
bukti jaksa bicara,negatif,positif
konferensi pers via zoom malam rabu shin sebut main alami cedera otot ringan akibat tampil intensitas khawatir jelang laga playoff kontra guinea,negatif,negatif
shayne pattynama selesai kompetisi musim kas eupen indonesia tepat bal senin bintang tim nasional indonesia libur sembari tunggu panggil shin taeyong,negatif,positif
untung kembang sepak bola indonesia era terimakasih baik garuda muda juang,positif,positif
goal spektakuler menitmenit krusial,positif,negatif
media tolong kasih panggung towel,negatif,positif
terima kasih terima kasih terima kasih terima kasih dukung hadir langsung stadion semangat,positif,positif
paten kali jagung nih,positif,positif
lololo endingnya,positif,positif
yuk bangkit yuk bom rebut posisi,positif,positif
oot ya kali imbang korea selatan piala asia skor tim nasional kalah korsel adu penalti skor congratulations,negatif,negatif
lagilagi rakyat kena tipu isuisu kacang,negatif,positif
coba cek tokopedia deh harga rupiah,positif,positif
jebol own goal arhan,positif,positif
bravo timnasu indonesia,positif,positif
ku momen menang pas arkhan tendang wkwk ernando struick,negatif,positif
alam tim nasional ajar pakai masa sepakbola indonesia sabar tuju tim nasional adlh msk olimpiade menang ikhlas yaa main netizen indonesia,negatif,positif
main tim nasional indonesia justin hubner aku celaka terbang klub cerezo osaka,negatif,positif
teruk gila ref game ni,positif,positif
sepakat pemuda salah lurus pemuda cerdas hera beliau tum,positif,positif
berontak terima kalah tolak ketidakadilan konteks afc ya sah kputapi,negatif,positif
prediksi togel jakarta pools mei angka main colok bebas d amp top d top d top d shio ular twins,positif,positif
tim nasional wanita indonesia menang skor telak singapura laga uji coba internasional stadion madya jakarta selasa malam,negatif,positif
kali marsella bikin gol jarak,positif,positif
selamat jepang tampil pamungkas jawara by the way naturalisasi kah main pro jepang tim nasional moga bakat bakat lokal negeri bangkit ontrend istri alfamart stop sok ganteng,positif,positif
yah tim nasional jago,negatif,positif
promo hari baru ibet bonus rb klaim kali hari batas all slot bebas ip bebas buy spin taut daftar,negatif,positif
piala asia recap indonesia players uzbekistan player referee man of the match uzbekistan the fckn referee,negatif,positif
paham lelah pikir henti main kalimat motivasi dampak apaapa,negatif,negatif
beli tiket tim nasional indonesia vs filiphina tanggal juni data email payment biaya ktiket tinggal north east premium ajaa wts wtb timnasday,negatif,negatif
anjirr hasil idn kor gaes selesai teliti,positif,positif
cek set kebaya kutu modern yuk yuk rekomendasi kebaya wisuda,positif,positif
nobar dar tonton tanding ritual sosial hidup kafekafe lapang ruang tamu kuat ikat komunitas,negatif,positif
minat west garuda tim nasional vs filipina,positif,positif
papa papa tambah koleksi kartu kuning,positif,positif
latih tim nasional indonesia shin tae yong mobil hyundai motor indonesia,negatif,positif
laga warna kartu merah latih tim nasional shin taeyong menit akibat protes wasit hasil guinea lolos olimpiade paris terima kasih juang garuda muda,negatif,positif
bingung tiket tim nasional ready tiket terus ya indonesia vs iraq amp filipina ready kategori upper ya upper kosong biaya k tiket tiket asli amp resmi jual an tiket testimoni percaya dm wts wtb,positif,positif
cakep banget kemarin tim nasional goalinnya alhamdulillah semi final,positif,positif
janji indonesia menang lawan oppa oppa korea stop nonton drakor hari,negatif,positif
kena akumulasi kartu ya anjir,negatif,negatif
tengkyuuu tim nasional masuk semi final keren pol menang curang menang sungguh,negatif,negatif
indonesia hasil lolos semifinal kalah korea selatan empat final baca berita lengkap,negatif,negatif
alhamdulillah jumat mei laksana bagi jumat berkah kolaborasi mills,positif,positif
hotel syariah batu malang cek malam seos,negatif,positif
reva sang ubah main,positif,positif
babak bur laga piala asia wanita latih satoru mochizuki aku kurang tim nasional putri indonesia,negatif,negatif
artis mei washio sinopsis eksplorasi titik sensitif join telegram amp taut nonton sub indonesia taut cuan,positif,positif
emang bener indonesia tuh kuat ya kalah duit bayar wasit pakai korupsi sih duit bayar wasit,negatif,negatif
edar video pilot helikopter duga serang helikopter presiden iran intelejen iran pilot agen mossad nama eli copter cek video celaka helikopter,negatif,positif
harga lengkap tiket vs irak filipina kualifikasi piala dunia upper rupiah terus rupiah northsouth rupiah terus rupiah westeast rupiah terus rupiah premium eastwest rupiah terus rupiah,positif,positif
pionbet pionbet selasa vietnam zizan mahasiswa raditya dika,positif,positif
silah mutiara,positif,positif
duga,positif,positif
justin hubner terimakasih cetak gol penalti kali,positif,positif
analisa dampak putus wasit china shen yin hao afc asi cup turun kuota buruh impor china indonesia,negatif,negatif
duga,positif,positif
jumat tim nasional open vcs sosmed konten pribadi wa,negatif,negatif
piala asia juang indonesia lanjut,negatif,positif
kali latih shin taeyong nemeni joged,positif,positif
menpora puji semangat pantang serah garuda muda hadap irak ranking fifa irak,positif,positif
hahahaa beneran tertawa sih lihat model witan sehatsehat ya witan,positif,positif
ketemu final ya,positif,positif
jepang juara selamat,positif,positif
did a great job tim nasional semangat rebut juara,positif,positif
mental orang hancur keti menghujam,positif,positif
ya indonesia semifinal indonesia kalah korsel ernado cetak gol waw waw waw waw waw korsel vs indonesia pinalty korsel vs indonesia,negatif,positif
barang yah patut curiga,negatif,negatif
salah abang kuh api nih asianabet nih bos senggol salah abangkuh,negatif,negatif
orang,positif,positif
shoot jarak bahaya main uzbekistan selamat kiper jepang jepang vs uzbekistan,positif,positif
tribunnya kosong cuy,negatif,positif
tim nasional indonesia gagal laju final piala asia takluk tim nasional uzbeksitan babak semifinal garuda muda kalah pasu serigala putih muda skor,negatif,negatif
gol penalti arho,positif,positif
leo kokubo is emiliano martinez in this final selamat tim jepang,positif,positif
indonesia kalah laga malam sesal jabat publik jauh sedia poster ucap selamat menang komposisi foto jabat ukur lebih foto main latih tim nasional,negatif,positif
kecewa main garuda muda kerja keras jatuh bangun,negatif,positif
akibat ulah oknum simpang siur,negatif,negatif
kalah mental kalah kualitas kalah alam maennya lepas pakai emosi maennya moga menang rebut juara lolos olympic,negatif,negatif
terimakasi tim nasional muda indonesia terimakasi latih tim ayo bangkit semangat ayo juang posisi good job gais,positif,positif
mantap nih indonesia final ketemu vietnam southeast asia supremacy,positif,positif
indonesia hasil singkir raksasa asia korea selatan babak adu pinalti indonesia lolos semifinal piala asia reaksi towel,negatif,negatif
alhamdulillah ya allah,positif,positif
kuat mental anjing gol anulir garagara offside nya pinalti pinalti maaf izin pamit kuat wasit var thailand anjing emang,negatif,negatif
karang pawitan merah nyala darderdor kena prank stay proud,positif,positif
fix lagi di jalan shalat jum at jam bantu abang marbot nyapu kepel nata kotak amal,positif,negatif
tiket nih kali minat,positif,positif
preman nih cuy jual sikattt jussa wakil banget untung doi lost kontrol wkwk,negatif,positif
next match perkasa terbang garuda,positif,positif
bilang kelas blunder maksimal aman main cc ketua pssi lapor,positif,positif
bayangin suruh ulang tendang pinalty nangiss nang trauma berat tendang keren mental brodi,negatif,negatif
semangat garuda muda,positif,positif
duga cipta kondisi imbas kemanamana,negatif,positif
indonesia menang bikin giveaway nya yakkk,negatif,positif
set taut live streaming voli avc challenge cup wanita tim nasional voli putri indonesia vs kazakhstan live streamingnya,positif,positif
negara negara kalahin tanding timnasday jerome polin wasit,negatif,positif
menang tim nasional warga indonesia kecuali towel ajak bro wkkwk,negatif,positif
bangga,positif,positif
pokok begadang gembira lihat laju semifinal towel sty,positif,positif
malam emosi turun lihat putus putus kaya lampias rewatch bioskop deh,negatif,negatif
ko main arah mana kasihan rakyat korban,negatif,negatif
panglima tni komitmen aparat berantas kstp,positif,positif
emang layak seprofessional latih sty negara lahir sikaaatt bayang si korsel indonesia netizen nya geruduk sosmednya ngerujak macem,positif,negatif
komposisi baik the best hasil baik yuk,positif,positif
tidak-apa-apa keren hebat terimakasih tahan semi final lawan tim nasional malam uzbek wasit resenya naudzubillah,negatif,negatif
apa fino alla fine indonesia,positif,negatif
jujur nonton selesai uzb unggul bangga juang anak muda indonesia,positif,positif
gates of olympus yuk log in main gamenya lupa cek halaman promosi promo tarik oyod taut vip sananta ridho,positif,positif
gol cantik struick penalty savenya nando shoutout captain rizky ridho underrated ganti orang kunci securenya backline kokoh tenang ngelead aset nasional,positif,positif
bangun pas mimpi seru seru nya bikin sesak seengaknya mimpi main olimpiade main aff,positif,positif
jadwal aff cup november myanmar vs indonesia november indonesia vs laos november vietnam vs indonesia des indonesia vs filipina juara grup,negatif,negatif
bagus main wasit bener moga garuda muda pulih tenaga amp mental kuat sempat tiket olimpiade proud of yall,positif,positif
selamat jalan wajib militer dek korsel,positif,positif
ajar lihat semi final malam cowok ringkih banget gulingguling,negatif,positif
tim nasional jepang kalah lawan tim nasional korsel tim nasional korsel kalah lawan tim nasional indonesia tim nasional indonesia kalah lawan tim nasional uzbek tim nasional uzbek kalah lawan tim nasional jepang jepang juara ngeprank wkwk,negatif,negatif
jepang congratulation,positif,positif
momen tentu lolos tim nasional kenputaran wcq nyari jersey tim nasional versi mills nih player issue home k layer issue third hitam k,negatif,negatif
wasit shen yinhao cek var kartu merah,negatif,negatif
semangat tim nasional,negatif,positif
ges tidur tim nasional lolos,negatif,negatif
wasit tanding anjing babi timnasday,negatif,negatif
shin tae yong hujat negara netizen indonesia kasih lihat ganas sihh,negatif,negatif
suka aa aa sunda cuek banting stir mas mas jawa,negatif,positif
ft indonesia vs uzbekistan semangat rebut peringkat tiga juang,positif,positif
rileksasi cari keringat ala rizky ridho pulang rumah habis fokus kualifikasi piala dunia,negatif,positif
tim nasional indonesia menang adu pinalti maju duludulu kandas adu pinalti,negatif,negatif
selasa besok sedihh hari tipu cok wasit,negatif,positif
ayo indonesia,positif,positif
babak final afc jepang vs uzbekistan first half additional mute taut live streaming,negatif,positif
simpel banget busa mimin beli masib awet murah lyodra indonesia tim nasional,positif,positif
tim nasional keren banget,negatif,positif
tidak-apa-apa kalah deh tidak sabar tim nasional indonesia main kualifikasi piala dunia yuk erick thohir naturalisasi main kualitas witan arhan,positif,negatif
ukir sejarah menang final oke,negatif,positif
yuk yuk juara,positif,positif
main nampaknya jabat negara budiman wkwk,positif,negatif
praktis ragnar kasta tinggi eredivisie musim memliki kontrak fc groningen isi salah main turun malu joey palupessy incar naturalisasi latih sty wujud,negatif,negatif
story zize arhan lucu banget woy,positif,positif
hello semifinal garuda,positif,positif
alhamdulillah tim nasional menang jumat berkah,positif,positif
ganteng banget lakik orang baligawat demen papa shayne,positif,positif
semifinal asia cup,positif,positif
tau nyari cn si camo size tag original art jual murah bawah,positif,positif
satu kalah indonesia wasit var catat nama bawah libat tanding tim nasional level mana,negatif,negatif
adi satryo panggil tim nasional indonesia siap kualifikasi piala dunia respons bos psis semarang via,positif,positif
langgan majalah suara hidayatullah hubung wa alhamdulillah ya allah fifa afc negara lucu hujan bidan,positif,positif
alhamdulillah,positif,positif
tiket nonton eui,positif,positif
dejavu tau momen tim nasional diprank peluit terimakasih shin tae yong,negatif,negatif
wkw savage ernando,positif,positif
alhamdulillah proud indonesia,positif,positif
pic tambah detail jersey,positif,positif
dua putus batal gol pinalti hinhga keluar kartu merah main indonesia mafia,negatif,negatif
arkhan fikri belikan mak hujat indonesia mak,negatif,negatif
optimis rebut posisi tiga,negatif,positif
daftar main tim nasional indonesia panggil shin taeyong fifa matchday juni laga lawan irak juni laga hadap filipina juni,negatif,negatif
did it well guys proud of selamat istirahat timnasku semangat match rebut juara,positif,positif
tanding mma bonus gol drama guling si uzbekisvarr wasit berkah woii,positif,negatif
hmm nih negara hancur,positif,positif
tum pssi erick thohir harap program makan gratis hasil bibit unggul tim nasional indonesia keramas dinda magelang boba,positif,negatif
ft indonesia uzbekistan wasit ferrari offside var knorchaev arhan pratama hasil baik bangga tim nasional dukung tim nasional rebut juara,negatif,positif
wakil suara netizen suara aju minta maaf jadi bau ras tim nasional guenia harap hubung olahraga sepak bola guenia indonesia depan sportif,negatif,negatif
terimakasih bang jepang,positif,positif
kirakira sebab tiket laga demand manfaat hehehe filipina,positif,positif
tunggu silaturahmi,negatif,positif
pesan khusus dukung garuda muda presiden fifa gianni infantino laga indonesia vs guinea kamis ajak cinta tim nasional indonesia dukung tim nasional sepak bola semangat garuda muda,positif,positif
ft irak indonesia,positif,positif
tanam panen,positif,positif
kegacoran xavi rb leipzig,positif,positif
wasit anjg luar penalty arhan wasit witan dewangga shin tae yong shibal,negatif,negatif
mahasiswa salah hmm,negatif,negatif
berita tim nasional indonesia baru mees higher kevin diks,negatif,negatif
alhamdulillah yaa allah subuh gembira terima kasih menang indonesia sukses tim nasional indonesia,positif,positif
revisi uu jaksa,positif,positif
henti langkah garuda muda semifinal uzbek bantu wasit shen yinhao,negatif,negatif
pindahin king indonesia turnamen eropa sih,positif,positif
hmi blumm nih,positif,positif
p cari lawan padan king indonesia,negatif,negatif
congratulations uzbekistan kualitas afc asi cup champion,positif,positif
kalah ya bang semangat besok libur koq,positif,positif
selamat jepang juara uzbek,positif,positif
pssi klaim mahal harga tiket laga tim nasional indonesia vs irak masalah suporter garuda,negatif,positif
momen gol ferarri anulir,positif,positif
main situs slot depo k seru main slot deposit ribu untung deh rugi cobak,negatif,positif
jepang uzbekistan tim nasional jepang juara piala asia kalah uzbekistan juara jepang uzbekistan irak indonesia,negatif,positif
indonesia vs irak garuda tribun timur,positif,positif
jadwal tournoi maurice revello indonesia vs ukraina wib indonesia vs panama wib jepang vs indonesia wib italia vs indonesia wib,positif,positif
informasi akun wasit nya,negatif,negatif
informasi ig wasit asli silahturahmi,negatif,negatif
laga warna kartu merah latih tim nasional shin taeyong menit akibat protes wasit hasil guinea lolos olimpiade paris terima kasih juang garuda muda,negatif,positif
wasit janc nabung dosa ye,negatif,negatif
cipta kondisi imbas mana,negatif,negatif
wikipedia guinea wkwk fix fifa situs nya typo,negatif,negatif
selamat tim nasional,positif,positif
semangatt gaess sempat go paris rebut peringkat,negatif,positif
witan sulaeman tanding match indonesia vs irak filipina kualifikasi piala dunia zona asia moga haji mabrur,positif,positif
wajar yen kalah wing target e mung tekan semifinal,negatif,negatif
kereeen banget kaliaan,positif,positif
loker kfc bekas crew restaurant lulus smk kalah jerome towel fifa sananta fomo iraq nathan arhan hubner,positif,positif
ya sudah rapopo sc tiktok abdulrohmannurarifin,positif,positif
wts tiket tim nasional indonesia vs philipina available tix bebas pilih cat tix pakai data,negatif,negatif
king ernando mode rasuk emi martinez nyala abang,negatif,positif
korea korea,positif,positif
jujur tim nasional overachieved sih dar ngeexpect semifinal tim nasional indonesia bangga,negatif,positif
indonesia menang puji kerja wasit indonesia kalah sumpah serapah wasit tau wasit,negatif,negatif
dapet tiket paris laki performa hebatnyamasih tanding tunggu semangat,positif,positif
terima kasih erick latih sty tim nasional kerja keras juang indonesia betapa bangga supporter indonesia,positif,positif
kokubo man of the match final kali sihh,negatif,positif
goal idn sgp merinding beneran pas lagu garuda dada menit hasil bobol gawang lawan,positif,positif
exco pssi kabar baru maarten paes kantong celah konfirmasi knvb langkah,positif,negatif
terimah kasih juang,positif,positif
kasihan indonesia yelah referee harem goal offside first repek tidak apa indonesia bangga,negatif,negatif
semangat tegak kepala prestasi juang rakyat indonesia dukung terbang garuda,positif,positif
gila yak nyalain kembang api woy parah banget sit sit bangga tim yuk yuk rebut juara keren banget,positif,positif
love tim nasional indonesia makas main keren semangat,positif,positif
terimakasih tim nasional terima kasih latih sty bangga the referee out of the box,positif,positif
main jaksa jaksa,positif,positif
sakit darah lets join taut bawah,negatif,positif
tambah indonesia lolos semifinal,negatif,positif
sty marah wasit pakai bahasa y inggris kampung korsel,negatif,negatif
