Kata / Kalimat,Sentimen Data Asli,Sentimen Data Prediksi
heii warga indonesia kecewa score tanding indonesia vs uzbekistan indonesia masuk semifinal capai baik,positif,positif
hasil indonesia vs guinea babak garuda muda kalah sty ganjar kartu merah guinea fifa pssi witan suleman,negatif,negatif
tuh lihat iya latih lempar telur guling gacor shin taeyoonnggg,positif,positif
diem otak tuh yak,negatif,positif
laku,positif,positif
nasib pratama arhan trending x masuk menit debut k league kartu merah,positif,positif
kopi dingin minum lihat bang tim nasional daya terimakasih wasit adil,positif,positif
prediksi togel shanghai mei angka main colok bebas d amp top d top d top d shio naga twins,positif,positif
hayo bukti nih jaksa ngomong,positif,positif
warga negeri wajib syukur mndoakan menang semi final,positif,positif
harga tiket laga tim nasional indonesia lawan irak filipina roket banding lawan vietnam gelora bung karno creator dio,negatif,negatif
sule mbappe ku sikat vincius,positif,positif
sponsor mie nyemek cak dul,positif,positif
harga promo jersey tim nasional indonesia erspo fullprinting murah,positif,positif
tolong kunciin nathan tjoe biar bolakbalik qatar heerenveen,negatif,negatif
easy menang kali pedrod broo mj nya terusss,negatif,negatif
juang maksimal fokus kualifikasi,positif,positif
shin taeyong ungkap kecewa ketidakadilan wasit,negatif,positif
keren banget,positif,positif
inti revisi uu jagung,positif,positif
cipta kondisi ending nya imbas kemanamana,negatif,positif
main lokal diam shin taeyong puji aksi marahmarah nathan tjoeaon rekan tim piala asia,positif,positif
tim nasional tim keren banget terima kasih terbang banget bangga ayok semangat rebutin tiket olimpic,positif,positif
lagilagi rakyat kena tipu isuisu kacang yu lurus samasama,positif,positif
mampus emang enak main drama shibal moga wasit kena karma dasar wasit taii,negatif,negatif
terimakasih garuda terbang,positif,positif
via statistik akun marselino ferdinan tempat urut main kreasi xt expected threat netizen negara lucu expected threat,positif,positif
jerit harga tiket tim nasional indonesia vs irak roket,negatif,positif
seruuuu nobar ramai ramai om main drama temenku body shaming mulu,negatif,negatif
sabar ygy,positif,positif
var penalti,positif,negatif
ready vcs say k jam basa basi ragu skip ya aaliyah malam minggu,negatif,positif
wasitt masalah pilih sihh hahhh,negatif,negatif
cengang gol claudia marsela awi ikut,negatif,negatif
ayo angkat bicara,positif,positif
lagilagi rakyat kena tipu isuisu kacang yu lurus samasama,positif,positif
negara lucu marselino tulang skor jepang unggul final afc cup jepang vs uzbekistan taut arabic taut bahasa,negatif,positif
orang bangga promosi produk afiliasi teroris zionis kalah boikot produk zionis alhamdulillah ya allah rcti struick,positif,positif
alas bg jay bela tim nasional indonesia padhal bidik tim nasional belanda,negatif,negatif
terima kasih garuda muda,positif,positif
alhamdulillah keren banget main mental selang olimpiade bismillah,positif,positif
tim nasional indonesia vs guinea tau badan otot senggol bocil ya lemah,negatif,negatif
kalah menang juang next match moga juara,negatif,positif
goal ikonik messi maradona,positif,negatif
our team alr did their best tau semangat garuda muda,positif,positif
wts tiket tim nasional indonesia vs iraq garuda upper harga by dm nomor harga calo,positif,positif
selamat uzbekistan lawan sulit good job tim nasional,positif,positif
keburu abis dipasarin mulu stok kah deck,negatif,negatif
gaduh nih jagung netizen salah kaprah,negatif,negatif
sih main uzbekkkkkk,positif,positif
wasit,negatif,negatif
well done ambil mahkota king,negatif,positif
menang curang berkah keras tim nasional we have next performance another moga wasit bener,negatif,positif
terimakasih juang semangat proses rintang wasit gebleg hadap,positif,positif
shin taeyong sikap dingin tanggap elkan baggott elkan panggil laga internasional juni,positif,positif
assalamualaikum semifinal,positif,positif
hahaha nyungsep tanggung,negatif,negatif
dapet giveaway rentet semifinal,positif,positif
ft idn vs uzb uzb layak menang unggul goal maennya bagus dalam skuadnya mantap latih gontaganti main kaya main friendly match sempat indonesia olimpiade paris,positif,positif
dasar wasit alat kelamin pria,negatif,negatif
pas arhan tendang refleks bilang azizah salsha,positif,positif
bukti islam bawa mundur sosial cleopatra wanita pandai cantik maju teknologi ilmu tahu zaman budaya islam masuk mesir mundur hancur mesir guinea,positif,negatif
terimakasih garuda juang semi final ayo juang tiga,positif,positif
jus indonesia kalah bangga bravo tim nasional watch jus indonesia free non membership only on,negatif,negatif
terima kasih bangga garuda muda kecewa kecewa wasit shen yinhao yok semangat indonesia rebut rd,positif,positif
jadi momen nobar rajut satu satu polres trenggalek fasilitas giat nonton bareng nobar tanding semifinal sepak bola juara sepak bola internasional qatar temu indonesia vs uzbekistan,negatif,positif
thank king indonesia hebat hebat prok proookkk selamattt juara gas olim,positif,positif
indonesia vs uzbekistan cek var penalti langgar cek var goal indonesia anggap offside semangat tim nasional balik wasit tai,negatif,negatif
bilang,positif,positif
wts tiket tim nasional dunia qualifiers indonesia vs filipina selasa juni available tix upper zone nett ticket eticket an pribadi salah beli,negatif,negatif
riil definisi jamaah sholat jumat bahagia,positif,positif
bangga tim nasional,negatif,positif
terimakasih tim nasional indonesia juang lawan main lapang koment like ya guys tanding malam,positif,positif
hasil drawing aff gelar solo grup c bilang grup neraka,negatif,negatif
head up boys semifinal beyond expectation sempat match paris hebat guys,positif,positif
,positif,positif
bojonya jijah bisa nyumbang gol,positif,positif
diskualifikasi,positif,positif
pikir realistis suruh pindah negara,negatif,negatif
menang bantu wasit tengil latih guinea kaba diawara tanding babak unggul ulang lini ubah nyata foot,positif,negatif
dimasukin eh dimasakin kopi stamina bikin main tahan beli shopee korea shin tae yong hubner towel pagiii,negatif,positif
mentok tidak-apa-apa good job tim nasional tingkatin level kualitas nya semangat,positif,positif
ya allah tanding tegang ucap selamat indonesia,positif,positif
lepas masuk semifinal prestasi maju bangga hebat proud,positif,positif
ernando tidur pules habis tidak ada pikir,negatif,negatif
tni au al kopassus ayo siap alutsista canggih rata thailand,positif,positif
ayo ayo kemarin bilang struick lemah langsung sembah gol maaf gih,positif,positif
silah netizen wasit arhan,positif,positif
tim nasional ku nyala terima kasih tim nasional garuda bangga terima kasih latih shin tae young proud of garuda muda,positif,positif
main lokal diam shin taeyong puji aksi marahmarah nathan tjoeaon rekan tim piala asia,positif,positif
muhammadiyah salaf wahabi mbappe epy kusnandar mahalini ras timnasday,positif,positif
hasil babak tim nasional indonesia vs guinea serang petaka garuda muda selengkapnyagtgt,negatif,negatif
yah mudahmudahan pas lawan irak filipina kondisi rumput sugbk malumaluin tau konser pindah venue tanding,positif,positif
epy kusnandar vina como jay idzes botak rizky ridho djarum venezia live streaming sprint race motogp lemans perancis taut,positif,positif
dukung tim nasional menang gemar dukung lanjut suka duka harga,positif,positif
nyata sesuai gagal bukti ikhtiar usaha doa terima terima hasil asa raih target semangat garuda muda,positif,positif
bikin hp nonton mkin cakepp cek,negatif,negatif
emang sih sananta kadang main bagus banding mas mending sananta sih sukses,positif,positif
ya tuhannnn,positif,positif
jual smartphone apple iphone plus gb blue rupiah informasi lengkap klik jumat,positif,positif
jadwal lengkap tim nasional indonesia semangat garuda muda,negatif,positif
tahajud hasil genks,positif,positif
apresiasi main indonesia official tim indonesia suporter indonesia langsung layar kaca lupa mistar gawang bobol,negatif,positif
rizky ridho straight red ridho clearance bola layak red card kahhh wasit kacau dunia nama orang malam penuh ketidakfair an,negatif,negatif
bahagia rasa wilayah papua kelompok separatis bunuh rakyat papua hilang,negatif,negatif
main jajar latih dukung tim nasional terimakasih bahagia pagi moga jerih payah amal akhirat kelak goyah olimpiade mata moga,positif,positif
hmi blumm nih,positif,positif
kali nonton sakit perut,negatif,negatif
wasit duit nih wkwkwkwkwk,negatif,negatif
terima kasih juang tim nasional,negatif,positif
statistik wo oyeee sih,positif,positif
wakti kick off ubah,positif,negatif
elkan baggott main peluang indonesia olimpiade paris baca tribun kaltim edisi mei,positif,positif
wajar mental main indonesia drop semangat gol anulir putus wasit rugi tim nasional indonesia,negatif,negatif
selamat tim nasional indonesia hasil kalah tim nasional korea selatan babak piala asia laksana qatar hasil mengalahlan negeri gingseng sejarah tim nasional muda garuda,negatif,negatif
wasit niup peluit kayak prit prit prit mulu wkwk ecek var ecek ig story uzbek badan gedegede letoy jatuh mulu jerome disalahin mah emang orang,negatif,negatif
kalah sebar tim nasional indonesia uber cup thomas cup sepak bola tim nasional tim nasional indonesia putri,negatif,negatif
banggaaaaa,positif,positif
rafael struick ivar jenner gabung fansnya adek nathan nih nathan belah,negatif,positif
damnown goal yaudahlah bangga,positif,positif
jadwal playoff indonesia vs guinea olimpiade paris shin tae yong rafael struick el klemer hubner korsel nathan rizky ridho lolos king indonesia sty marcelino erick thohir elkan baggot,negatif,negatif
bagus banget main tim nasional indonesia bangga capai,negatif,positif
aku statistik tim uzbek unggul lawan tim nasional luarbiasa terima kasih bangga tim nasional garuda muda evaluasi fokus raih juara,negatif,positif
spill nama lengkap wasit paku karat nih,negatif,positif
fake gandu lun katwa k ao ganduo itna larki bnnay ka shok hai tou,positif,positif
organisasi mahasiswa berfikir kritis,negatif,negatif
tim nasional indonesia laju semi final piala asia,negatif,positif
main naturalisasi liga potensi pilih shin taeyong piala aff nomor bintang borneo fc,positif,positif
congratulations tim nasional indonesia bener mental nya ernando kelaaaaassszz terimakasih latih shin tae yong kereeenn,positif,positif
main arah mana,negatif,negatif
el klemer el klemer nya,negatif,negatif
mauliate garuda,positif,positif
cinta al quran ansor banser jungwoo dirty vote hoshi renjun motaz coachella seungkwan dortmunt haechan gaza yeonjun shinyu joselu grok kendrick hybe bernabeu lakers fedi nuril utbk snbt aurora sancho army kipk,positif,positif
jumat berkah alhamdulillah,positif,positif
wts ready tiket tim nasional vs irak filipina tanggal juni sisa slot minat dm,negatif,negatif
senyumsenyum khatib,positif,positif
terima kasih garuda muda kalah uzbekistan semifinal gol indonesia anulir wasit wasit keluar kartu merah rizky ridho wasit kntl nyala semangat rebut juara santet eh spil wasit nya,negatif,positif
mari lurus masalah lurus,positif,positif
terima kasih garuda muda juang rejekinya olimpiade ajar depan tim debut afc cup play off olimpiade salut,negatif,positif
adi satryo jaga gawang tim nasional indonesa senior lahir juli kota tanggerang adi satryo main klub liga psis semarang,negatif,negatif
emang kelas mahasiwa lurus hal emang salah,positif,negatif
syukur lahir zaman a malam tidak ada lose semifinal here we come,positif,positif
ya sudah,positif,positif
tim nasional indonesia vs korea selatan garuda menang adu penalti full senyum ukir sejarah,negatif,negatif
main baik europa league,positif,positif
proud rebut juara semangattttt congratulations uzbekistan team deserve more,positif,positif
wasit var thailand rugi tim nasional indonesia,negatif,negatif
barang yah patut curiga,negatif,negatif
wts tiket tim nasional biaya dm yaaaa ko tenang,positif,positif
huwaaaa senang banget indonesia lolos semifinal makasiih ya allah,positif,positif
,positif,positif
loh kann mainmain,positif,positif
sadar kelen gol ssuai pemaen team selamat dedek gemesku unch top an diayamayamin ih wkwk king indonesia bossss meledakkk abangkuuu sty saranghae,positif,positif
kangen nonton tim nasional era nonton ya nonton harap kalah prediksi,negatif,positif
gol tutup garuda pertiwi cetak reva octaviani saksi highlights tim nasional indonesia video,negatif,negatif
kelazzz banget kakek lets join taut bawah,positif,positif
tuntas jepang rengkuh gelar juara kali gol fuki yamada laga final satusatunya gol sarang gawang uzbekistan turnamen syukran qatar ilaa liqaa,positif,positif
bismilah,positif,positif
tinggal tidur bangun dapet kabar alhamdulillah,positif,positif
guys kalah diapain terima emang rezeki indonesia babak final semifinal bangga banget,negatif,positif
gol singapura,positif,positif
alhamdulillah cari juara,positif,positif
sepakat pemuda pemuda keren cerdas,positif,positif
tim nasional sepak bola indonesia kancah asia tenggara baca lengkap,negatif,negatif
prediksi togel hebei pools mei angka main colok bebas d amp top d top d top d shio ular twins,positif,positif
kl curang tim nasional mundur ajang,negatif,negatif
full attack tahan main sabar bacoott inti,positif,positif
emang kalah fisik sih,negatif,negatif
detik detik jepang juara final piala asia qatar,positif,positif
thank much guys bener bener juang patut apresiasi tinggi bangga bangga,positif,positif
lupa sholat jumat,positif,positif
tim nasional putri kog sangar mainne yen tanding mesti kalah,negatif,negatif
silah maki wasit,negatif,negatif
semangat tim nasional goals juara minimal masuk olimpiade biar dukung,positif,positif
pokok sayang ridho bgttt,positif,negatif
pionbet pionbet selasa vietnam zizan mahasiswa raditya dika,positif,positif
bilang indonesia menang libur nasional,positif,positif
ft jepang uzbekistan jepang juaraaaaa piala asia ucap selamat samurai biru,positif,positif
hasil jepang vs irak april jepang unggul gol babak,positif,positif
woy referee negara kau dapet proyek king indonesia bela fak teh,positif,positif
kaos polo lacoste original rb taut shopee shen yinhao jerome arhan kartu merah kntl fomo struick wasit sivakorn puudom cek var bojone heru budi offside sananta informasi ig shibal iraq gara badan,negatif,negatif
the real juang darah tim nasional mah,positif,positif
tidur nyenyak,negatif,positif
latih shin taeyong main tim nasional asisten latih tim medis interpreter staff apresiasi setinggi ucap kerja keras terimakasih sungguh terimakasih,positif,positif
heyy turnamen target capai lho semangat dik adik biarpun kalah uzbekistan wasit,negatif,positif
trans pagi kepo insiden min hee jin ador bang si hyun bola olympic kalah indonesia ytta konflik agens,negatif,negatif
puji tuhannnnnnnnn,positif,positif
netizen kepo skuad tim nasional indonesia elkan baggott maarten paes sorot,negatif,negatif
abangabangan tim nasional senior thom haye shayne pattynama ragnar oratmangoen jay idzes nobar virtual tim nasional indonesia vs korea selatan reaksi seru banget,negatif,negatif
terimakasih shin tae yong,positif,positif
tambah ganjar,positif,positif
mantap menang tarohan,positif,positif
terima kasih tim nasional indonesia,negatif,positif
sudaahh tidak apa kalah menang qadarullah tunjuk dunia support indonesia apa jng salah usaha,negatif,negatif
main silah sek bang,positif,positif
bahagia nama sepak bola,positif,positif
gol pratama arhan tutup drama adu pinalti korea selatan,negatif,negatif
nobarr sekeluargaaa,positif,positif
fomo selamat tim nasional muda garuda ngomong ngomong witan kiyowoo,negatif,positif
tim nasional indonesia gagal olimpiade kalah guinea,negatif,negatif
muh bangga,positif,positif
live score jam tayang tim nasional indonesia vs tanzania skuat shin taeyong full team,positif,positif
yuk lurus samasama,positif,positif
set keren taut live streaming avc challenge cup wanita tim nasional voli putri indonesia vs india taut live streamingnya,positif,positif
gwencana garuda hatur nuhun tos juang tanding rebut posisi tiga semangat suasana nobar wilayah jawa barat tanding malam,positif,positif
korupsi maklum lupa tuh maklum aneh,negatif,negatif
lewat momen piala dunia dukung tim nasional garuda paket nonton parabola hemat lengkap klik whatsapp kunjung,positif,positif
juang tim nasional ri mari alih plan bb manfaat menit reguler sebaikbaiknya tetap solid,positif,positif
nya keren fansnya andai fans king indonesia budiman bumi sombong nasib hasil,positif,positif
indonesia kalah lawan uzbeskistan terima kasih tim nasional indonesia usaha semifinal datang kembali stronger indonesia,negatif,positif
kontroversi wasit,negatif,negatif
timnasday,positif,positif
,positif,positif
perintah main,positif,positif
banggaaaaaa tim nasional juang lawan korsel lanjutkanlanjutkan final guysss,negatif,positif
cosplay jarjit anjir,negatif,negatif
filipina kuat main naturalisasi vs indonesia,negatif,positif
semangat tim nasional bangkit baik indonesia,negatif,positif
main korsel selebrasi kalah langsung dibales joget ernando target shin tae yong bismillah langkah olimpiade wasit,negatif,positif
orang suka postingan respons komentar,positif,positif
pic tambah detail jersey,positif,positif
ayo semangat paris garuda muda bangga langkah bagus,positif,positif
yu lurus,positif,positif
baik,positif,positif
tim nasional internasional ya suporter kampung pakai acara ras norak,negatif,positif
skor indonesia uzbekistan,positif,positif
yeay secured my ticket hasil war temu stadion tim nasional garuda,positif,positif
gegara ambisi uang jagung laku dampak buruk masyarkat babel nih,negatif,negatif
wkwkw langsung stiker wasit,positif,positif
alhamdulillah indonesia laju semi final sesuai janji menang giveaway ku pilih random ya selamat silah dm nomor ewallet isiin insyaalloh besok pas semi final adain giveaway tanda syukur,positif,positif
yaa negeri konoha,positif,positif
negara konoha emang beda main poko ngeri,negatif,positif
mas bangga bangga indonesia hormat tinggi,positif,positif
bangga lihat tim nasional putri indonesia nang nyanyi lagu tanah air air mata alir wakil letih juang sepi perhati rindu menang bayar tuntas tanding ramai hadir suporter tim nasional,negatif,positif
wasit shenyinhao rujak netizen depan,negatif,negatif
bangga kalah korea selatan drama adu penalti indonesia semifinal piala asia,negatif,negatif
terima kasih juang,positif,positif
apresiasi dukung tim nasional stadion keren,positif,positif
shin taeyong jay idzes bela tim nasional indonesia lawan irak justin hubner via,negatif,negatif
garuda tangguh sang harimau putih,negatif,positif
semifinal piala asia tingkat,positif,positif
jantung aman best komen won,positif,positif
terima kasih garuda muda latih cinta latih sty bangga tim nasional indonesia ayo bangkit tim nasional indonesia rebut tiket olimpiade juara tiga,positif,positif
usia kapten argenti,positif,positif
rafael bilang we are one reflek bilang exo sarangahaja mmf banget reflek,positif,positif
jahat banget wasit nya tidak jadi goal cantik banget goal nya indonesia ferrari arhan batal offside semangat ya tim nasional optimis kalah uzbek informasi ig wasit silaturahmi prank shibal,negatif,negatif
promosi pinjam online tampa agun bunga ringan syarat mudah proses cepat perhati butuh dana renovasi modal usaha samping rumah sakit didik obat amanah amp percaya,negatif,positif
wasit radarada but we are proud of,positif,positif
garuda muda menang,negatif,positif
semifinal datanggggg,positif,positif
bayangin statistik unggul lawan king asia cleansheet patah struick master lass shin taeyong suka nyuruh challenge,negatif,positif
ayo bicara,positif,positif
mohon dukung pilih damping garuda pilih damping garuda sumber indonesia,positif,positif
sty jerman pulangin bos sty korsel pulangin wel,positif,positif
juang witan lawan titan guinea malam rela kepala bocor jahit video operasi witan sulaeman,negatif,positif
akibat ulah oknum jaksa,negatif,negatif
arhan kapten cosplay kapten emyu,positif,positif
kaget dukung tim nasional indonesia unik ajak anakanak daftar damping garuda laga kualifikasi piala dunia gratis buka,positif,positif
harga tiket tim nasional indonesia vs irak nih guys,positif,positif
harga tiket tim nasional indonesia lawan irak filipina rilis pssi tiket tanding pssi jual terus tanding harga tiket tanding tim nasional indonesia,positif,positif
haloo tiket indonesia vs filipina seat upper garuda orang tidakk,positif,negatif
did very good prestasi guyss we proud of all tegak kepala keras terimakasih all choaching team all did great job fokus tanding mei go garuda,positif,positif
wasitt gudalll,positif,positif
terimakasih tugas mesti,positif,positif
im proud of garuda muda tim nasional hebat titik,negatif,positif
taut streaming nonton tim nasional indonesia lawan tim nasional guinea,negatif,negatif
wasit indonesia vs uzbekistan jerome,negatif,negatif
allahu akbar merdekaaa,positif,positif
alhamdhlillah laju garuda indonesia gila beda level banget tim nasional bingung bagus banget enak tonton,negatif,negatif
motm indonesia vs uzbekistan,positif,positif
main jelek indonesia hujat wasit,negatif,negatif
tim nasional lolos semi final amp bikin masyarakat indonesia full senyum free alias gratis kelas ada main tim nasional piala asia semangat garuda olimpiade tinggal selang,negatif,positif
kecewa hormat putus wasit,negatif,negatif
ditunggutunggu zahra muzdalifah main babak,negatif,negatif
aneh main uzb bentur witan anggap langgar kocak banget wasit sogok kelas afc pakai wasit model wasit liga tarkam,negatif,negatif
saddil sensitif ong kim swee diskusi saddil ramdani anak asuh sabah fc panggil tim nasional indonesia,negatif,negatif
p maljum tau butuh gigolo dm ya khusus bandung ayoooooo,negatif,negatif
sahabat habis nonton indonesia vs guinea coba ngumpul,negatif,positif
indonesia menang level dunia,negatif,negatif
latih lempar motor latih pas nobar gara gara wasit biadap latih arghhhhhhhhgggg,negatif,positif
gweh cinta banget si hubner jiwa preman gavi takuttakutnya,positif,positif
indonesian abroad ft sabah fc nang fc main indonesia saddil ramdani tampil penuh sayang gagal bawa tim dulang poin pekan perdana djarum,negatif,negatif
wts skiv rou lafiye all warna gercepp yaaw,positif,positif
pa juang pelan naik level main proses berprogress penting jalan timnasday,negatif,positif
shin taeyong slot main kualifikasi piala dunia kan manggil malik risaldi kah latih nih ganti witan ibadah haji,positif,positif
main tim nasional offside nyentuh bola nyentuh bola umpan pendek pas woy wasit china dasar kontol jongos china abdi uzbek,negatif,negatif
negara butuh orang jujur ayo revisi uu jaksa,positif,positif
balas liga dangdut,negatif,negatif
klub orang indonesia promosi serie a struick bintang asia,positif,positif
segi tahan serang ber tubi jam tahan tiang juang terimakasih bangga,negatif,positif
lepas wasit kontroversial poin bikin indonesia kalah lawan uzbek fisik mental skill individu main bawah main uzbek beda nya banget duel,negatif,negatif
naik harga tiket tim nasional indonesia persen,positif,positif
daftar sejarah juara rekor juara edisi kali jepang kali iraq kali uzbekistan kali korea selatan kali arab saudi,negatif,positif
nonton konser musik harga tiket juta keluh nonton tim nasional main harga tiket ratus ribuk ribut model masyarakat sih,positif,positif
hmi blumm nih,positif,positif
tau kerja tum pssi erick thohir adira finance,positif,negatif
capek banget habis nonton drama korea tembus pagi tidurz korsel emang the best drama korea,negatif,negatif
mumpung suasana lebaran tolong ingfokan akun ig wasit tugas,negatif,negatif
ernando nya pakai baju dibu martinez pas main lawan argentina joget joget,positif,negatif
full indonesia uzbek gagal lolos final indonesia juang rebut posisi,negatif,negatif
atur ekspektasi nya guys tim debut uzbek final hasil sistem sepakbola jalan hasil quick fix hasil yuk tuntas olimpiade paris,positif,positif
yah kalah lemes sih apa tarung semifinal sejarah sendiri semangat tarung rebut tiket olimpiade tim nasional indonesia,negatif,negatif
era digital kurang cari lemah orang muncul darimana lemah,negatif,positif
emang wasit bangsat tai babi,negatif,negatif
wts tiket indonesia vs philipina harga dm terimakasih,positif,positif
drakor negeri atlet pas final ngelawan negara amp bahkana sahabat hari ini shin tae yong did it,positif,positif
liatt bjirr main liga pakkk ayolahhh oyyy,positif,negatif
game rekomendasi weekend auto ledak jay idzes djarum babymonster in tokyo d princess,negatif,positif
nih sebar dana kaget nih yuk sikat layang paham ya ges tambah idr untung dm twitter,positif,positif
lanjur lanjur,negatif,positif
rela marathon drakor nonton tim nasional subuh sia sia hasil masuk semi final,negatif,positif
telat bela venezia final playoff promosi serie a shin taeyong pasti jay idzes tampil lawan irak good luck idzes lagi di jalan serie a,positif,positif
the real jumat berkah param indonesia v kore,positif,positif
aneh sih kalok ngehujat arhan lepas emang bikin own goal turut match arhan perform loh,negatif,positif
match indonesia vs uzbekistan,positif,positif
lihat main cadang fulham,positif,positif
jerman dipulangin korea,positif,positif
yuk beib main main stasiunplay akuh taut join,positif,positif
shen yinhao arhan struick offiside anda ongoal gol ferarri sah ya cerita tanding,positif,negatif
full senyum,positif,positif
shin taeyong misi tembus fifa tim nasional indonesia berat tarung vs irak filipina bukti,negatif,positif
jaksa peran,positif,positif
coba orang pasuk sukses banget ya semangat bangga maju,positif,positif
nyari tiket tim nasional indonesia vs filipina cat upper garuda yoo harga kotak masuk,negatif,negatif
saksi tanding langsung,positif,positif
mimin paham kecewa indonesia gagal lolos olimpiade wasit bikin darah plissss mari dewasa ras biar ras warna sepak bola stop rasisme,negatif,positif
final indonesia stadion isi nya jangkrik,negatif,positif
nanti panjang,positif,negatif
arah main mana,negatif,negatif
champions selamat manchester city hasil menang gelar liga inggris empat kali berturutturut taut,positif,positif
bersihbersih,positif,positif
indonesia serasa maroko piala dunia l,negatif,negatif
tidak apa good game peduli indonesia jerome polin taeeeeee,positif,positif
alhamdulillah tim nasional menang,positif,positif
gol korut goal of the tournament tuh,positif,positif
skuad garuda uji coba hadap tanzania kualifikasi piala dunia,positif,positif
yu yu yu revisi uu jaksa,positif,positif
erick bicara,positif,positif
momen tim nasional sulit menang gelora bung karno,negatif,positif
depan,positif,positif
hayo loh jagung,positif,positif
erick thohir tolong telepon argentina rematch,negatif,negatif
nya nonton banget guee kampung gbkeh demu yee rafael,positif,positif
rejeki main olimpiade rejeki tim nasional nnti lolos kualifikasi pildun weh,positif,positif
tutup botol ah ajg tidur aja,negatif,positif
harga untk semgad,positif,positif
apresiasi dukung temanteman jelang subuh salut,positif,positif
mari lurus,positif,positif
terima kasih sty,positif,positif
clearance krusial nastasia suci,positif,positif
wasit shibal sekiya,negatif,positif
saksi tanding fulham vs manchester city klik taut bawah epy kusnandar vina fulham jay idzes djarum aaliyah ras,positif,positif
bang jay main laga indonesia vs irak jadwal venezia fc playoff promosi serie a mepet,positif,positif
kemaren rafael maju capek ulang komen mana jelasin posisi rafael,positif,positif
ayo bicara,positif,positif
tum pssi erick thohir sambut antusias salah program unggul presiden amp wakil presiden pilih prabowo subianto gibran rakabuming raka makan gizi gratis anakanak indonesia,positif,positif
statistik yuk yuk finishingnya tajam semifinal terima kasih adik especially rafael n ernando,positif,positif
semifinal,positif,positif
var offside om wasit sudut kamera sejajar main cari angle kamera offside pro emang nih panitia afc bener kata latih justin but ucap selamat uzbek see next game,positif,positif
t emang stigma bikin gaduh ya,positif,positif
tim nasional indonesia untung wasit,negatif,negatif
indosiar tolong recruit tuh main uzb,negatif,negatif
tanding sf malam uzvarkistan semangat,positif,positif
jantung aman,positif,positif
